pmid,entity,entity_kind
39116346,National Institute for Health and Care Research,funder
38287368,Nederlandse Organisatie voor Wetenschappelijk Onderzoek,funder
40248973,Engineering and Physical Sciences Research Council,funder
39880946,National Aeronautics and Space Administration,funder
38271215,Bundesministerium für Bildung und Forschung,funder
39536077,Biotechnology and Biological Sciences Research Council,funder
38744875,Chinese Academy of Sciences,funder
38862479,National Aeronautics and Space Administration,funder
39281887,European Commission,funder
39281887,Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung,funder
40078148,Wellcome Trust,funder
39659730,National Natural Science Foundation of China,funder
40003364,Conselho Nacional de Desenvolvimento Científico e Tecnológico,funder
39893186,Fundamental Research Funds for the Central Universities,funder
40092899,China Scholarship Council,funder
39048683,Natural Environment Research Council,funder
38440259,Engineering and Physical Sciences Research Council,funder
40238435,National Institute for Health and Care Research,funder
39869892,European Commission,funder
38510104,Natural Environment Research Council,funder
38965366,Japan Society for the Promotion of Science,funder
38263408,Wellcome Trust,funder
39573850,Deutsche Forschungsgemeinschaft,funder
39005474,Bundesministerium für Bildung und Forschung,funder
40547194,Nederlandse Organisatie voor Wetenschappelijk Onderzoek,funder
38910521,Nederlandse Organisatie voor Wetenschappelijk Onderzoek,funder
38713426,Bundesministerium für Bildung und Forschung,funder
38228183,Medical Research Council,funder
39248308,Fundamental Research Funds for the Central Universities,funder
38617802,Engineering and Physical Sciences Research Council,funder
40415276,Nederlandse Organisatie voor Wetenschappelijk Onderzoek,funder
39248308,National Science Council,funder
39048683,Conselho Nacional de Desenvolvimento Científico e Tecnológico,funder
38481855,Fundação para a Ciência e a Tecnologia,funder
39630501,European Commission,funder
39553854,Engineering and Physical Sciences Research Council,funder
39169967,Engineering and Physical Sciences Research Council,funder
38773083,National Institutes of Health,funder
39035841,Conselho Nacional de Desenvolvimento Científico e Tecnológico,funder
39103380,Natural Environment Research Council,funder
39030856,Nederlandse Organisatie voor Wetenschappelijk Onderzoek,funder
38397648,European Regional Development Fund,funder
40439603,Australian Research Council,funder
39576351,National Aeronautics and Space Administration,funder
38593853,Natural Environment Research Council,funder
39248308,Conselho Nacional de Desenvolvimento Científico e Tecnológico,funder
38696469,Office of Naval Research,funder
39206455,Nederlandse Organisatie voor Wetenschappelijk Onderzoek,funder
38993235,European Commission,funder
39008662,National Key Research and Development Program of China,funder
38412126,National Natural Science Foundation of China,funder
40066727,Bundesministerium für Bildung und Forschung,funder
40034129,National Science Foundation,funder
39693632,Bundesministerium für Bildung und Forschung,funder
39911270,Fundação para a Ciência e a Tecnologia,funder
40109538,National Institutes of Health,funder
39239914,Bundesministerium für Bildung und Forschung,funder
39475597,European Commission,funder
39717369,National Aeronautics and Space Administration,funder
38297013,European Commission,funder
39042691,Deutsche Forschungsgemeinschaft,funder
38271522,Centre National de la Recherche Scientifique,funder
40054693,Wellcome Trust,funder
39638762,Fundação para a Ciência e a Tecnologia,funder
38352202,Australian Research Council,funder
39671498,Biotechnology and Biological Sciences Research Council,funder
39008662,European Commission,funder
40261973,National Aeronautics and Space Administration,funder
38228188,Australian Research Council,funder
38976810,Bundesministerium für Bildung und Forschung,funder
39830270,European Commission,funder
40335465,Biotechnology and Biological Sciences Research Council,funder
38649723,European Commission,funder
39988434,Australian Research Council,funder
38232172,Canadian Institutes of Health Research,funder
39533056,Deutsche Forschungsgemeinschaft,funder
39359457,Fundação para a Ciência e a Tecnologia,funder
39600712,Natural Environment Research Council,funder
39116608,National Institute for Health and Care Research,funder
39457360,National Institute of General Medical Sciences,funder
38489389,Japan Society for the Promotion of Science,funder
40172555,Engineering and Physical Sciences Research Council,funder
40404639,Natural Environment Research Council,funder
40034129,Bundesministerium für Bildung und Forschung,funder
39119255,Nederlandse Organisatie voor Wetenschappelijk Onderzoek,funder
39498562,Natural Environment Research Council,funder
38245553,National Cancer Institute,funder
40199932,National Science Foundation,funder
39643603,Engineering and Physical Sciences Research Council,funder
40108573,Nederlandse Organisatie voor Wetenschappelijk Onderzoek,funder
39830270,Deutsche Forschungsgemeinschaft,funder
38977678,European Commission,funder
38649723,Deutsche Forschungsgemeinschaft,funder
38547289,Fundação para a Ciência e a Tecnologia,funder
39074505,National Science Foundation,funder
39503595,Engineering and Physical Sciences Research Council,funder
39596260,Australian Research Council,funder
39952954,Engineering and Physical Sciences Research Council,funder
38903143,Natural Environment Research Council,funder
38456179,Natural Environment Research Council,funder
38673379,National Institute of General Medical Sciences,funder
40399465,Bundesministerium für Bildung und Forschung,funder
38437533,National Aeronautics and Space Administration,funder
39747195,European Commission,funder
39248308,Deutsche Forschungsgemeinschaft,funder
38605106,Bundesministerium für Bildung und Forschung,funder
38744875,National Aeronautics and Space Administration,funder
40475158,Wellcome Trust,funder
40346825,Nederlandse Organisatie voor Wetenschappelijk Onderzoek,funder
38196353,Australian Research Council,funder
39424833,European Commission,funder
38181731,Bundesministerium für Bildung und Forschung,funder
38374414,Bundesministerium für Bildung und Forschung,funder
39992284,U.S. Department of Energy,funder
39008662,Natural Environment Research Council,funder
40475158,National Institutes of Health,funder
40119174,Bundesministerium für Bildung und Forschung,funder
38353893,Nederlandse Organisatie voor Wetenschappelijk Onderzoek,funder
39312445,Engineering and Physical Sciences Research Council,funder
39301060,China Scholarship Council,funder
39239914,Deutsche Forschungsgemeinschaft,funder
38799400,Bundesministerium für Bildung und Forschung,funder
39533947,Agence Nationale de la Recherche,funder
40034129,Biotechnology and Biological Sciences Research Council,funder
40532016,National Cancer Institute,funder
38271522,Bundesministerium für Bildung und Forschung,funder
38784157,European Regional Development Fund,funder
39830270,Nederlandse Organisatie voor Wetenschappelijk Onderzoek,funder
39659755,Australian Research Council,funder
38951502,National Aeronautics and Space Administration,funder
38252814,National Cancer Institute,funder
38909077,U.S. Department of Energy,funder
38784157,Fundação para a Ciência e a Tecnologia,funder
38976810,Deutsche Forschungsgemeinschaft,funder
39239357,National Aeronautics and Space Administration,funder
40064916,National Science Foundation,funder
39424833,Deutsche Forschungsgemeinschaft,funder
38384829,Natural Sciences and Engineering Research Council of Canada,funder
40463892,National Science Foundation,funder
38724591,Deutsche Forschungsgemeinschaft,funder
40229259,Deutsche Forschungsgemeinschaft,funder
40092899,National Science Foundation,funder
39532146,Natural Environment Research Council,funder
40256447,European Commission,funder
39536058,Deutsche Forschungsgemeinschaft,funder
39296874,European Commission,funder
38879602,European Commission,funder
40214640,Natural Environment Research Council,funder
40046429,Nederlandse Organisatie voor Wetenschappelijk Onderzoek,funder
38348327,Biotechnology and Biological Sciences Research Council,funder
38909077,Bundesministerium für Bildung und Forschung,funder
39903110,European Commission,funder
39074505,Science and Technology Facilities Council,funder
40235033,Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung,funder
39988434,Medical Research Council,funder
40476043,Fundação para a Ciência e a Tecnologia,funder
40234441,European Commission,funder
40404639,National Research Foundation,funder
38618561,National Natural Science Foundation of China,funder
38950358,European Commission,funder
39619791,Centre National de la Recherche Scientifique,funder
40035762,National Science Foundation,funder
38170768,European Commission,funder
38380701,Natural Environment Research Council,funder
40151485,Engineering and Physical Sciences Research Council,funder
39760305,Wellcome Trust,funder
38773126,National Science Foundation,funder
38628122,Australian Research Council,funder
39086824,Nederlandse Organisatie voor Wetenschappelijk Onderzoek,funder
38271215,Engineering and Physical Sciences Research Council,funder
40425160,Nederlandse Organisatie voor Wetenschappelijk Onderzoek,funder
39533056,European Commission,funder
38654743,Fundação para a Ciência e a Tecnologia,funder
39511301,National Cancer Institute,funder
39475207,Bundesministerium für Bildung und Forschung,funder
38531405,Nederlandse Organisatie voor Wetenschappelijk Onderzoek,funder
39288817,Natural Environment Research Council,funder
38680894,Medical Research Council,funder
38186272,Australian Research Council,funder
40191694,Nederlandse Organisatie voor Wetenschappelijk Onderzoek,funder
40444198,Bundesministerium für Bildung und Forschung,funder
38784157,European Commission,funder
38280188,Bundesministerium für Bildung und Forschung,funder
39836436,National Aeronautics and Space Administration,funder
39723171,European Commission,funder
38632480,National Science Foundation,funder
40087538,European Commission,funder
38531902,Deutsche Forschungsgemeinschaft,funder
39312680,Russian Foundation for Basic Research,funder
38719869,European Commission,funder
39652754,National Aeronautics and Space Administration,funder
39942680,Fundação para a Ciência e a Tecnologia,funder
38864842,Medical Research Council,funder
39432793,National Science Foundation,funder
40404639,Natural Sciences and Engineering Research Council of Canada,funder
38271215,Deutsche Forschungsgemeinschaft,funder
39068189,Ministerio de Ciencia e Innovación,funder
38223231,Nederlandse Organisatie voor Wetenschappelijk Onderzoek,funder
39294160,European Regional Development Fund,funder
38272940,Bundesministerium für Bildung und Forschung,funder
39680787,European Commission,funder
38621118,Australian Research Council,funder
38204792,U.S. Department of Agriculture,funder
39281887,National Science Foundation,funder
40237819,European Commission,funder
39793052,Natural Environment Research Council,funder
39536077,Natural Environment Research Council,funder
39336645,Fundação para a Ciência e a Tecnologia,funder
38960860,Bundesministerium für Bildung und Forschung,funder
38712033,Deutsche Forschungsgemeinschaft,funder
39361747,National Aeronautics and Space Administration,funder
39943745,Australian Research Council,funder
39191780,Natural Environment Research Council,funder
40519887,European Commission,funder
38903732,Australian Research Council,funder
38268047,Fundação para a Ciência e a Tecnologia,funder
38799391,Agence Nationale de la Recherche,funder
39034972,Biotechnology and Biological Sciences Research Council,funder
40256447,Medical Research Council,funder
38681185,National Science Foundation,funder
39108863,Fundação para a Ciência e a Tecnologia,funder
39456921,Engineering and Physical Sciences Research Council,funder
38432237,Medical Research Council,funder
38272940,Agence Nationale de la Recherche,funder
38689546,Nederlandse Organisatie voor Wetenschappelijk Onderzoek,funder
39290663,National Science Foundation,funder
38267450,Centre National de la Recherche Scientifique,funder
38481855,European Regional Development Fund,funder
38773126,Ministerio de Ciencia e Innovación,funder
39734916,Engineering and Physical Sciences Research Council,funder
39025478,Fundação para a Ciência e a Tecnologia,funder
40299703,National Institutes of Health,funder
39042696,National Institutes of Health,funder
38960860,National Science Foundation,funder
39279819,European Commission,funder
38172637,Nederlandse Organisatie voor Wetenschappelijk Onderzoek,funder
39830270,Canadian Institutes of Health Research,funder
38684006,U.S. Department of Agriculture,funder
38196199,Deutsche Forschungsgemeinschaft,funder
39264279,Vetenskapsrådet,funder
38380701,European Regional Development Fund,funder
39623739,European Commission,funder
40404639,National Science Foundation,funder
38818378,Bundesministerium für Bildung und Forschung,funder
39284689,Vetenskapsrådet,funder
39532896,National Natural Science Foundation of China,funder
40305618,Nederlandse Organisatie voor Wetenschappelijk Onderzoek,funder
40064916,Bundesministerium für Bildung und Forschung,funder
39141739,European Commission,funder
40054693,Engineering and Physical Sciences Research Council,funder
39906501,European Commission,funder
40203091,Japan Society for the Promotion of Science,funder
39976449,European Commission,funder
39816735,National Aeronautics and Space Administration,funder
38259104,European Commission,funder
38553544,Natural Environment Research Council,funder
39951525,National Institute of General Medical Sciences,funder
40087538,Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung,funder
38892146,Fundação para a Ciência e a Tecnologia,funder
39398634,Biotechnology and Biological Sciences Research Council,funder
38654649,Australian Research Council,funder
38874424,Bundesministerium für Bildung und Forschung,funder
39973583,Australian Research Council,funder
38489389,Science and Technology Facilities Council,funder
39452617,Natural Environment Research Council,funder
39048015,European Commission,funder
38228183,Australian Research Council,funder
39074505,National Aeronautics and Space Administration,funder
39830270,National Science Foundation,funder
39511301,Nederlandse Organisatie voor Wetenschappelijk Onderzoek,funder
40173235,Bundesministerium für Bildung und Forschung,funder
40382363,National Aeronautics and Space Administration,funder
39495929,Nederlandse Organisatie voor Wetenschappelijk Onderzoek,funder
39899712,National Institutes of Health,funder
38317439,National Science Foundation,funder
39391756,European Commission,funder
39475207,European Commission,funder
40043128,Japan Society for the Promotion of Science,funder
39873520,Medical Research Council,funder
40099215,National Natural Science Foundation of China,funder
39876717,National Science Foundation,funder
38819376,Canadian Institutes of Health Research,funder
38600132,European Regional Development Fund,funder
38600132,Fundação para a Ciência e a Tecnologia,funder
40497295,Australian Research Council,funder
40303021,European Commission,funder
39493620,Deutsche Forschungsgemeinschaft,funder
38960860,National Institutes of Health,funder
39880946,Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung,funder
39074505,National Research Foundation,funder
39424797,Engineering and Physical Sciences Research Council,funder
38773126,National Institutes of Health,funder
39457360,National Cancer Institute,funder
39116608,Natural Environment Research Council,funder
39678356,National Aeronautics and Space Administration,funder
38170768,National Science Foundation,funder
40214640,European Commission,funder
38361974,Nederlandse Organisatie voor Wetenschappelijk Onderzoek,funder
38388522,National Institute for Health and Care Research,funder
38374414,Engineering and Physical Sciences Research Council,funder
