pmid,label,access,data_location,accession_or_link,repository_family,evidence_quote,rationale
39296874,non_open_data,upon_request_or_restricted,,,,The data supporting this article have been included as part of the ESI. Additional computational data produced in this work is available from the corresponding authors upon reasonable request.,"The article only shares data as supplementary ESI files and states that additional computational data is available upon reasonable request, with no repository deposit or accession number, so it does not meet the open-data definition."
39241070,non_open_data,reuse_only,,,,"All data needed to evaluate the conclusions in the paper are present in the paper and/or the Supplementary Materials. In detail, the MODIS LAI/fPAR data are available at https://e4ftl01.cr.usgs.gov/MOLT/MOD15A2H.061/ . The ERA5 reanalysis product is available at ... The TRMM precipitation data are available at ...","The Data Availability statement lists only pre-existing third-party satellite/reanalysis products (MODIS, ERA5, TRMM, TROPOMI SIF, CSIF, isoprene emission datasets, LBA-ECO, FLUXNET2015, AMSR2 X-VOD) that the authors reused, with no newly generated dataset deposited by the authors under a new accession."
39086824,false_negative,open,Dryad Digital Repository,,Dryad,Data accessibility Data supporting this manuscript are accessible in the Dryad Digital Repository [53].,"The authors explicitly state the biologger-derived acoustic and dive data underlying the study (newly generated field data, not third-party reuse) are deposited in the Dryad Digital Repository with no mention of restricted or upon-request access, so this is a genuine open-data deposit the detector missed, even though the specific DOI is only resolvable via reference [53] rather than inline in the data-accessibility sentence."
39533947,non_open_data,supplement_only,,,,DATA AVAILABILITY STATEMENT The data that supports the findings of this study are available in the supplementary material of this article.,"The study analyzes publicly available SRA libraries downloaded from prior studies (data reuse, not newly generated), and its own compiled results/tables are shared only as article supplementary material with no repository deposit or accession, so the detector's negative call is correct."
38355745,false_negative,open,4TU.ResearchData,https://doi.org/10.4121/7b45bcc6-686b-404d-a910-13c87156716a.v1,Institutional/domain,"We provide four types of datasets (available in 4TU.ResearchData at https://doi.org/10.4121/7b45bcc6-686b404d-a910-13c87156716a.v1): national average uWFs for all 175 crops, global gridded pWFs for aggregated crop production, global gridded uWFs, and global gridded CWU.","This is a Scientific Data descriptor whose entire purpose is to describe a newly generated dataset (crop water footprint simulations) deposited with a DOI in the open repository 4TU.ResearchData, satisfying all three open-data criteria, so the detector's negative call is a false negative."
38689546,false_negative,open,Zenodo,,Zenodo,The data that support the findings of this study are uploaded to the Zenodo Research Data repository and are available online [36].,"The article explicitly states newly generated behavioral/chasing-sequence data were deposited in the Zenodo repository and are available online (not restricted), meeting the open-data criteria even though the specific accession/DOI text falls in the reference list not captured in this extract."
39294160,false_negative,open,Earth System Data Repository,https://doi.org/10.57932/29a2ba8b-87e8-4a5d-aba6-ebf6a8faa2c6,Institutional/domain,"Te dataset39 is provided as a zip fle along with a readme.txt fle, available on Earth System Data Repository (https://doi.org/10.57932/29a2ba8b-87e8-4a5d-aba6-ebf6a8faa2c6).","This is a Data Descriptor article whose sole purpose is to describe newly generated microclimate/soil/tree experimental data deposited with a resolvable DOI at the open Earth System Data Repository, meeting all three open-data criteria and constituting a clear detector miss."
39076780,false_negative,open,Zenodo,https://doi.org/10.5281/zenodo.8172597,Zenodo,"The data is available at Zenodo: de Sampaio Barros, M. F., Stefano Filho, C. A., Toffoli de Menezes, L., Ara jo-Moreira, F. M., Trevelin, L. C., Pimentel Maia, R., Radel, R., Castellano, G. (2023). ... [Data set]. Zenodo. https://doi.org/10.5281/zenodo.8172597","The Data Availability statement discloses that the authors deposited their newly generated psycho-physio-neurological (EEG, HR, BR, questionnaire) dataset at Zenodo with a resolvable DOI and no stated access restriction, meeting all three open-data criteria, so the detector's negative call is a miss."
39191780,false_negative,open,Zenodo,https://doi.org/10.5281/zenodo.13165034,Zenodo,"Our data is publicly available for download40... Littleboy, C., Subke, J.-A., Bunnefeld, N. & Jones, I. WorldSeasons: a seasonal classifcation system interpolating biomes within the year for improved temporal aggregation. University of Stirling https://doi.org/10.5281/zenodo.13165034 (2024).","This is a Scientific Data Descriptor whose entire purpose is releasing a newly generated global seasonal classification dataset, deposited on Zenodo with a resolvable DOI and released under a CC-BY open license, meeting all three open-data criteria, so the detector's negative call is a miss."
39475120,false_negative,open,Dryad Digital Repository,https://doi.org/10.5061/dryad.7h44j103h,Dryad,"Data available from the Dryad Digital Repository (Ulgezen et al., 2024): https://doi.org/10.5061/dryad.7h44j103h","The authors deposited their newly generated behavioral/experimental data in the Dryad Digital Repository with a resolvable DOI and no stated access restriction, meeting all three open-data criteria, so the detector's negative call is a miss."
39813342,false_negative,open,OpenNeuro,10.18112/openneuro.ds005691.v1.0.0; 10.18112/openneuro.ds005692.v1.0.0,OpenNeuro/DANDI,Raw electrophysiological data from the invasive recordings are freely available on openneuro.org via DOI: 10.18112/openneuro.ds005691.v1.0.0 . Raw electrophysiological data from the noninvasive recordings are freely available on openneuro.org via DOI: 10.18112/openneuro.ds005692.v1.0.0 .,"The authors deposited their newly generated raw electrophysiological data (both invasive and noninvasive recordings) in OpenNeuro with dedicated DOIs and describe them as freely available, meeting all three open-data criteria, so the detector's negative call is a miss."
38942892,non_open_data,upon_request_or_restricted,,,,The Digital Bathymetric Elevation Model (DBEM) described in this study is available from the corresponding author upon reasonable request.,"All source datasets (ICESat-2 ATL03, Sentinel-3 OLCI, hydrographic charts, FABDEM) are pre-existing third-party data reused by the authors, and the newly generated output (the DBEM) is only available upon reasonable request rather than deposited in an open repository with an accession/DOI."
38862479,false_negative,open,NASA GeneLab / Open Science Data Repository (OSDR); Mendeley Data; Figshare,https://doi.org/10.26030/jm59-zy54 (OSD-352); https://doi.org/10.17632/fjxrcbh672.1; https://doi.org/10.6084/m9.figshare.24581544,NCBI,"The raw data generated in this study is hosted on the NASA GeneLab server, a part of the NASA Open Science Data Repository under study ID OSD-352 (https://doi.org/10.26030/jm59-zy54)... processed count matrices generated for the ST samples... are publicly accessible from Mendeley dataset (https://doi.org/10.17632/fjxrcbh672.1). Furthermore, the RNAscope validation images... are available on Figshare (https://doi.org/10.6084/m9.figshare.24581544).","The authors deposited newly generated raw and processed sequencing/imaging data across three repositories (NASA OSDR, Mendeley Data, Figshare) each with a resolvable DOI/accession and open public access, so this is a clear detector miss."
39209861,false_negative,open,Science Data Bank,https://doi.org/10.57760/sciencedb.15823,Institutional/domain,The dataset is publicly accessible through the Science Data Bank at https://doi.org/10.57760/sciencedb.15823.,"This is a Data Descriptor article reporting a newly generated retention-time dataset (10,073 entries, 343 molecules, 30 chromatographic methods) deposited with an open, resolvable DOI in a public repository, meeting all three open-data criteria."
39992284,non_open_data,code_only,,https://sites.google.com/lbl.gov/calgem/GP,,we provide the GPyTorch implementation for the GP MLL model and the input data at https://sites.google.com/lbl.gov/calgem/GP . Vulcan emissions can be accessed at 10.3334/ORNLDAAC/1810 ... and fire emissions data are accessible at Zenodo ( https://zenodo.org/records/7229675 ),"All accession-bearing links in the availability statement point to pre-existing third-party datasets the authors reused as inputs (Vulcan emissions, fire emissions, OCO-2/3, CARB, CalTrans, OpenSky, CarbonTracker/SMUrF code); the only artifact tied to the authors' own generated GEOS-Chem simulation output/code is posted on a personal lab Google Sites page with no repository deposit or accession, so no newly generated study data meet the open-data criteria."
40121204,false_negative,open,ScienceDB,https://doi.org/10.57760/sciencedb.1299049,Other,"Water-MRYR dataset can be accessed at https://doi.org/10.57760/sciencedb.1299049. Te dataset is a long term water body types mapping result of the urban agglomeration in the middle reaches of the Yangtze River from 1990 to 2021 at 30 m spatial resolution, which has been produced using the developed pixel-semantic framework and weakly supervised deep learning technology.","This is a Scientific Data descriptor whose Data Records section deposits the newly generated water-body mapping dataset (14 raster products) in the ScienceDB repository with a resolvable DOI and no stated access restriction, meeting all three open-data criteria."
38795015,false_negative,open,Zenodo,https://doi.org/10.5281/zenodo.11179585,Zenodo,"All the necessary files to run the simulations performed in this work are also available in the Zenodo repository, together with a full trajectory (https://doi.org/10.5281/zenodo.11179585); other full trajectories are available upon request.","The authors deposited their newly generated MD simulation files and a full trajectory in Zenodo with a resolvable DOI and describe it as openly available, satisfying the repository+accession+open-access criteria even though some additional trajectories are only available upon request."
39889000,non_open_data,supplement_only,,,,All data needed to evaluate the conclusions in the paper are present in the paper and/or the Supplementary Materials.,"The data availability statement points only to the paper and its supplementary materials (figures, tables, movie), with no repository deposit or accession number for the XPCT imaging data generated in the study."
38739795,false_negative,open,Zenodo,,Zenodo,The raw data and analysis scripts used in this study have been deposited in Zenodo (52).,"The article explicitly states that the raw data and analysis scripts generated in this study were deposited in Zenodo, a recognized open-data repository, with no indication of restricted or gated access, meeting the criteria for open data sharing that the detector missed."
39973583,non_open_data,none,,,,"Due to the sensitive nature of the data, these are currently not available.","This is a qualitative interview study with a data availability statement explicitly stating the sensitive interview/qualitative data are not available, so no deposit, accession, or open access is provided."
39290662,false_negative,open,European Nucleotide Archive (ENA); Figshare,PRJEB71469 (https://www.ebi.ac.uk/ena/browser/view/PRJEB71469); https://doi.org/10.6084/m9.figshare.24866772.v1; https://doi.org/10.6084/m9.figshare.24866790.v1; https://doi.org/10.6084/m9.figshare.24866841.v1,NCBI,"All raw sequences generated for this study in the European Nucleotide Archive (ENA) under the accession number PRJEB71469 ... An overview of all MAGs generated for the study is publicly available at (https://doi.org/10.6084/m9.figshare.24866772.v1) ... along with fasta files for all MAGs at (https://doi.org/10.6084/m9.figshare.24866790.v1), including the non redundant set of MAGs at (https://doi.org/10.6084/m9.figshare.24866841.v1)","The Data Availability Statement deposits newly generated raw shotgun/16S sequencing reads in ENA (PRJEB71469) and MAG catalogues in Figshare with DOIs, all presented as publicly accessible, meeting the open-data definition and constituting a detector miss."
39767547,false_negative,open,Zenodo,10.5281/zenodo.14260347,Zenodo,Data were deposited on Zenodo DOI 10.5281/zenodo.14260347.,"The authors deposited their newly generated health-surveillance/survey data on Zenodo with an explicit DOI and no stated access restriction, meeting all three open-data criteria, so the detector's negative call is a false negative."
38807544,non_open_data,supplement_only,,,,All data and code are available in the electronic supplementary material. Raw video files and orthomosaics are available upon request.,"The processed data and code are only attached as article supplementary material with no independent repository deposit/accession, and the raw underlying data (video/orthomosaics) are explicitly restricted to upon-request access, so this does not meet the open-data criteria."
39467117,false_negative,open,Zenodo,DOI: 10.5281/zenodo.13831092,Zenodo,"Data from the wind tunnel force and PIV measurements, as well as the flight test data, are available on Zenodo at DOI: 10.5281/zenodo.13831092","The authors deposited their newly generated wind tunnel and flight test data in Zenodo with a resolvable DOI and no stated access restrictions, meeting the open data definition despite the detector's negative score."
40045997,non_open_data,code_only,Zenodo,https://doi.org/10.5281/zenodo.11245334,Zenodo,"The R code used in this analysis is provided in the following DOI: https://doi.org/10.5281/zenodo.11245334. The Materials and methods section describes each step, and further details of the method are provided in SI Note 11.","The Data Availability statement only deposits the analysis R code on Zenodo with a DOI; the underlying model relies on publicly available existing spatial datasets (cables, MPAs, shipping fairways, depth, species richness, etc.) rather than newly generated data, and no such newly generated dataset is deposited with an accession."
39503595,false_negative,open,UCL Research Data Repository (institutional),https://doi.org/10.5522/04/26343271.v1,Institutional/domain,"Data for this article, including photoelectron spectra and theoretical calculations are available at the UCL data repository [URL https://doi.org/10.5522/04/26343271.v1]. It consists of all the experimental files collected for both cis and trans.","The authors deposited their newly generated experimental photoelectron spectra and theoretical calculation results in the UCL institutional data repository with a resolvable DOI, presented as openly accessible, so this is a missed open-data case."
40064524,non_open_data,upon_request_or_restricted,,,,Data Availability Statement Data will be made available on reasonable request.,"The article's data availability statement explicitly restricts the underlying TMS/clinical data to on-request access rather than depositing it in a repository with an accession number, so it does not meet the open-data criteria."
39025478,false_negative,open,Zenodo,10.5281/zenodo.10462156,Zenodo,"The data underlying this study are available in the published article, in its Supporting Information, and openly available in Zenodo (10.5281/zenodo.10462156).","The authors deposited the newly generated experimental/DFT data (NMR spectra, characterization data, computations) in Zenodo with a resolvable DOI and explicitly state it is openly available, which the detector missed."
39652754,false_negative,open,Zenodo,Zenodo (cited as ref. 76 in Data Availability statement; no inline DOI/URL in extracted text),Zenodo,"Data spreadsheets, code, and range maps for 659 amphibian species from Gonz lez-del-Pliego et al 2019 ( 56 ) have been deposited in Zenodo ( 76 ).","The Data, Materials, and Software Availability statement documents that the study's own data spreadsheets and analysis code (its newly generated outputs), not just the reused amphibian range maps, were deposited in the Zenodo repository and presented as openly accessible, meeting the open-data criteria despite the accession being given only as a numbered reference rather than an inline DOI."
39346044,false_negative,open,Zenodo,https://doi.org/10.5281/zenodo.10951021,Zenodo,"The data are available at Zenodo: Rudy, I., Wilson, M. (2024). Underwater Image/Turbidity Dataset (1.0.0) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.10951021 .","The authors deposited their newly generated underwater image/turbidity dataset in Zenodo with a DOI and describe it as openly available, satisfying all three open-data criteria, so this is a detector miss."
40213040,false_negative,open,Zenodo,10.5281/zenodo.14907019,Zenodo,Data accessibility Repository name: Zenodo Data identification number: 10.5281/zenodo.14907019,"This Data in Brief article describes a newly generated dataset of biodiversity characterization factors that the authors deposited in Zenodo with a resolvable DOI, presented as an openly accessible CC BY-NC dataset, so the detector's negative call is a miss."
39452617,false_negative,open,Zenodo,https://zenodo.org/doi/10.5281/zenodo.13383185,Zenodo,"Data and code (Ozsanlav Harris et al., 2024) are available in Zenodo at https://zenodo.org/doi/10.5281/zenodo.13383185 where we provide all derived data required to run our analysis (e.g., timestamps, tag identifier codes, step lengths and habitats associated with each GPS fix) and locations rounded to one decimal place.","The authors deposited their derived analysis dataset (newly generated from their own GPS/accelerometer tracking) in Zenodo with a resolvable DOI and describe it as openly available, satisfying all three open-data criteria even though the separate raw GPS data are restricted to qualified researchers upon request."
39198529,non_open_data,upon_request_or_restricted,,,,The datasets used and/or analysed during the current study are available from the corresponding author on reasonable request.,"The article's Data availability statement explicitly restricts data access to a request to the corresponding author rather than depositing data in an open repository with an accession number, so this is a legitimate detector negative."
38228621,non_open_data,upon_request_or_restricted,,,,"Data from the mooring, including the salinity, temperature, and ADCP-based measurements used in the present study are available from the corresponding author upon request.","The newly generated mooring salinity/temperature/current data underlying the study's HSSW production estimates are shared only upon request, while all other cited data (AWS, ERA5, SIC, satellite imagery) are pre-existing third-party datasets, so no newly generated data are openly deposited with an accession."
40346825,non_open_data,upon_request_or_restricted,,,,The data acquired in this study will also be uploaded and freely available online (www.figshare.com) after full collection of the database and anonymization is possible. Any additional information required to re-analyze the data reported in this paper is available from the corresponding author upon reasonable request.,"The data have not actually been deposited yet (no accession number or working link, only a promise of future upload to Figshare pending database completion/anonymization), and the fallback access mechanism stated is upon-request, so no currently open data deposit exists; only the analysis code is shared via a GitHub link."
40237819,false_negative,open,CORA.Repositori de Dades de Recerca (institutional research data repository),https://doi.org/10.34810/data1720,Institutional/domain,The data generated during the study is available at repository name Interplay of Mycobacterium abscessus and Pseudomonas aeruginosa in coinfection: Biofilm Dynamics and Host Immune Response at https://doi.org/10.34810/data1720 .,"The authors explicitly state that data generated during the study was deposited in a named data repository with a resolvable DOI (10.34810/data1720) and describe it as available, satisfying deposit, accession, and open-access criteria, so the detector's negative call is a miss."
40470169,false_negative,open,Zenodo,https://doi.org/10.5281/zenodo.14859906,Zenodo,All data used in this paper are available at https://doi.org/10.5281/zenodo.14859906.,"The authors deposited the newly generated flood sensor data in Zenodo with a resolvable DOI and describe it as freely available, meeting all three open-data criteria that the detector missed."
38196353,false_negative,open,Dryad Digital Repository,https://doi.org/10.5061/dryad.6q573n63h,Dryad,Data are available from the Dryad Digital Repository: https://doi.org/10.5061/dryad.6q573n63h [77].,"The authors deposited their newly generated experimental data (spore loads, fecundity, body size, intrinsic growth measurements) in Dryad with a resolvable DOI and no stated access restriction, meeting all three open-data criteria, so the detector's negative call is a miss."
39424833,non_open_data,supplement_only,,,,All new data and recalculated datasets shown here are available in the Supplementary Information/Source Data file. Source data are provided in this paper.,"The Data availability statement points only to a Supplementary Information/Source Data file attached to the paper, with no repository deposit or accession number for the newly generated Mg/Ca and isotope data (only the analysis code was deposited in Zenodo), so the detector's negative call is correct."
40003540,non_open_data,supplement_only,,,,The original contributions presented in this study are included in the article. Further inquiries can be directed to the corresponding author.,"The Data Availability Statement states data are only included within the article itself (with further inquiries to the corresponding author), with no repository deposit, accession number, or persistent link to a dataset, so this does not meet the open data definition."
38315867,false_negative,open,DRUM (Data Repository for the University of Minnesota),,Institutional/domain,"Physiological, anatomical, and spectral records data have been deposited in DRUM (68).","The Data, Materials, and Software Availability statement explicitly states that the newly generated physiological, anatomical, and spectral data were deposited in DRUM, the University of Minnesota's institutional data repository, presented as an accessible deposit rather than restricted or upon-request access, so this is an open-data deposit the detector missed."
39399586,false_negative,open,Bridges (Monash institutional data repository) and Dryad,https://doi.org/10.26180/25467973 ; https://doi.org/10.5061/dryad.j3tx95xqc,Dryad,All data and R scripts for analyses used in this study will be available on Bridges data repository at https://doi.org/10.26180/25467973 ... Genotyping data and R script used for genetic analyses are also available in Dryad at https://doi.org/10.5061/dryad.j3tx95xqc.,"The authors deposited their newly generated DArT SNP genotyping data and analysis scripts in two repositories (Monash Bridges and Dryad) with resolvable DOIs and describe them as openly available, meeting all three open-data criteria despite the detector scoring the article negative."
39630501,false_negative,open,Harvard Dataverse,https://doi.org/10.7910/DVN/KKTJQC,Dataverse,"The following dataset was generated: Cohen A, Al-Fatly B, Horn A | 2023 | GSP1000 Preprocessed Connectome for Lead DBS (V2) | https://doi.org/10.7910/DVN/KKTJQC | Harvard Dataverse, 10.7910/DVN/KKTJQC","The Data availability section's 'dataset generated' table lists a GSP1000 preprocessed connectome deposited in Harvard Dataverse with a resolvable DOI accession and no stated access restriction, meeting the open-data criteria that the detector missed."
40463892,false_negative,open,NCBI BioProject / Figshare,PRJNA1167728; https://doi.org/10.6084/m9.figshare.27251949,NCBI,Sequence data are available under PRJNA1167728. Data corresponding to this study are on Figshare under https://doi.org/10.6084/m9.figshare. 27251949.,"The authors deposited their newly generated 18S rRNA amplicon sequencing data in NCBI BioProject (with accession PRJNA1167728) and additional study data on Figshare (with a resolvable DOI), both presented as openly accessible with no restriction, so the detector's negative call is a miss."
38272940,non_open_data,none,,,,"The underlying geometries, the site information, and the time series of wood prices are operational data of the public forest enterprises and cannot be made publicly available. The model code is available from the corresponding author upon reasonable request.","The article is a simulation-optimization modeling study whose key input data (geometries, site information, wood price time series) are explicitly stated to be non-public operational data of a forest enterprise, and only the model code (not data) is available on request, so no newly generated data are deposited with an accession in an open repository."
38440259,non_open_data,supplement_only,,,,It can be found online at https://doi.org/10.1016/j.xinn.2024.100588.,"This is a systematic literature review whose extracted dataset (51 GBGI types, cooling values, etc.) is only presented in the article's own supplemental tables/figures (Table S1-S5, Figures S1-S6) linked via the journal's own article DOI, with no deposit in an independent data repository and no accession number, so it does not meet the open-data criteria."
38538625,false_negative,open,Marine Data Archive,https://doi.org/10.14284/625,Institutional/domain,"Hooyberg, A. et al. Survey data linking coastal visit behaviours to socio-demographic and health profles. Marine Data Archive https://doi.org/10.14284/625 (2023).","This is a Scientific Data descriptor for a newly generated survey dataset (N=1939 respondents) deposited with a persistent DOI in the Marine Data Archive repository and described throughout the Data Records section as openly accessible, so the detector's negative call is a miss."
40127265,false_negative,open,Zenodo,https://doi.org/10.5281/zenodo.14915595,Zenodo,A replication archive and all necessary data can be found at https://doi.org/10.5281/zenodo.14915595 (69).,"The Data, Materials, and Software Availability statement points to a specific DOI-identified Zenodo deposit containing the replication archive and all necessary data underlying the study's analyses, with no stated access restriction, satisfying repository deposit, persistent identifier, and open access criteria that the detector missed."
40195327,false_negative,open,Science Data Bank,https://doi.org/10.57760/sciencedb.17942,Other,The historical global monthly and ten-day FY-3 MIDI products from June 2014 to December 2024 are freely available at the Science Data Bank (https://doi.org/10.57760/sciencedb.17942),"This Scientific Data descriptor paper deposits the newly generated FY-3 MIDI drought dataset in the Science Data Bank repository with a resolvable DOI and explicitly states it is freely available, meeting all three open-data criteria that the detector missed."
38560467,false_negative,open,Zenodo,https://doi.org/10.5281/zenodo.10434187,Zenodo,"The data from this study are available at Zenodo: Qifang, X. (2023). Assessing the Risk of Concurrent Mycoplasma pneumoniae Pneumonia in Children with Tracheobronchial Tuberculosis. https://doi.org/10.5281/zenodo.10434187.","The Data Availability statement gives an explicit Zenodo DOI deposit of the study's own newly generated clinical dataset with no stated access restriction, meeting all three open-data criteria, so the detector's negative call is a false negative."
39602263,false_negative,open,Zenodo,,Zenodo,Supplementary data have been deposited in Zenodo (107). R scripts and Linux commands for data analyses are available via GitLab (108). Seeds of the cybrids are available upon request.,"The authors explicitly state their newly generated supplementary data (organellar variant calls, phenotyping datasets) were deposited in the open repository Zenodo, distinct from the code (GitLab) and seeds (upon request only), so the detector missed a genuine open-data deposit."
38481855,false_negative,open,GenBank / Barcode of Life Data System (BOLD),"e.g. OR796911, OR796749, OR795901 (GenBank); BOLD BINs e.g. BOLD:AAY9961, BOLD:AAI0259",NCBI,75 species from five different families are new additions to the Barcode of Life Data System (BOLD) and 112 new BINs were added... A total of 535 BINs were retrieved by BOLD... and 112 BINs are unique to our dataset,"This Biodiversity Data Journal data paper reports 1,059 newly generated COI DNA barcode sequences for Iberian bees, each specimen listed in a table with a public GenBank accession number (OR-series) and a BOLD BIN identifier, meeting all three open-data criteria (new data, accessioned, openly accessible), so the detector's negative call is a miss."
39942680,non_open_data,upon_request_or_restricted,,,,"The data presented in this study are available upon request from the corresponding author, as the large volume of data precludes direct public sharing.","The article explicitly restricts its MD simulation data to upon-request access with no repository deposit or accession number, so the detector's negative call is correct."
38228188,false_negative,open,Figshare (electronic supplementary material collection),https://doi.org/10.6084/m9.figshare.c.7007798,Figshare,"The original data of this paper are presented in the electronic supplementary material, table S1 and electronic supplementary material, table S3 [51]. ... Electronic supplementary material is available online at https://doi.org/10.6084/m9.figshare.c.7007798.","The raw newly-generated playback response data (tables S1 and S3) are deposited as electronic supplementary material hosted on Figshare under a persistent, openly-accessible DOI (CC-BY 4.0), satisfying repository deposit, accession/DOI, and open access criteria, so this is an open-data article the detector missed."
39284689,false_negative,open,figshare,doi:10.6084/m9.figshare.27133908.v1,Figshare,Data used for analyses are availble in figshare at: doi:10.6084/m9.figshare.27133908.v1.,"The authors deposited their newly generated accelerometer/morphology data in Figshare with a resolvable DOI and no stated access restriction, meeting all three open-data criteria, so the detector's negative call is a miss."
40416619,false_negative,open,Zenodo,https://doi.org/10.5281/zenodo.14048379,Zenodo,The data and code is available at GitHub and Zenodo: - https://github.com/bingbaise/The-model/tree/NEW - bingbaise. (2024). bingbaise/The-model: 0.1 (NEW). Zenodo. https://doi.org/10.5281/zenodo.14048379 .,"The Data Availability statement deposits the study's newly collected clinical/laboratory dataset (and code) in Zenodo with a resolvable DOI, presented as openly accessible, which the detector missed."
39355116,false_negative,open,Figshare,https://doi.org/10.6084/m9.figshare.27021256,Figshare,Data Availability Statement The data have been deposited with Figshare: https://doi.org/10.6084/m9.figshare.27021256 .,"The Data Availability Statement gives an explicit repository deposit (Figshare) with a resolvable DOI and no stated access restriction, satisfying deposit+accession+open-access criteria even though the underlying occurrence points were originally sourced from GBIF."
39619791,false_negative,open,Zenodo,https://zenodo.org/doi/10.5281/zenodo.10887354,Zenodo,All data supporting the results as well as associated scripts to conduct the analyses can be accessed on Zenodo at https://zenodo.org/doi/10.5281/zenodo.10887354.,"The authors deposited their newly generated GPS tracking, boldness, and breeding success data (plus analysis scripts) in Zenodo with a resolvable DOI and no access restriction stated, meeting all three open-data criteria."
39063496,non_open_data,upon_request_or_restricted,,,,Data Availability Statement Data are available upon request.,"The article's data availability statement only offers data upon request with no repository deposit or accession number, which is explicitly excluded from the open data definition."
39593812,false_negative,open,Zenodo (Aspen Plus models); YouTube (videos),"reference [65] (Zenodo); references [54,59,61,63,66,72,77] (YouTube)",Zenodo,"Research data are publicly available as videos on YouTube [54,59,61,63,66,72,77] and as Aspen Plus models hosted by ZENODO [65].","The Data Availability Statement explicitly names Zenodo as the repository hosting the authors' Aspen Plus models with a citation pointer and states the data are publicly available, satisfying deposit-in-repository + reference-to-it + open-access framing, so this appears to be a genuine detector miss rather than a legitimate negative."
40512743,non_open_data,code_only,,,,The figures and the performance numbers quoted in the comparison table are fully reproducible. The codebase that produced them can be found in https://github.com/Datseris/ComplexityMeasuresPaper.,"This is a software-methods paper (ComplexityMeasures.jl) whose availability statement only points to the code repository (GitHub, archived via a Zenodo DOI for the codebase) and reuses third-party datasets (S&P500 stock prices, WikiArt paintings) without depositing any newly generated data under an accession in a data repository."
39553854,unclear,unclear,,,,Data availability Data underlying the results presented in this paper are available in Ref. [ 50 ],"The article's data-availability statement points to reference [50] for the underlying data, but the reference list itself (with repository name, accession number, or URL) is not included in the extracted text, so it cannot be determined whether this constitutes an open repository deposit with an accession/DOI or something else (e.g., restricted access or a non-repository citation)."
39041014,false_negative,open,Dryad,https://doi.org/10.5061/dryad.gmsbcc2wg,Dryad,The data supporting this study are available in the Dryad repository (https://datadryad.org) under the accession number https://doi.org/10.5061/dryad.gmsbcc2wg.,"The authors deposited their newly generated camera-trap behavioural dataset in the Dryad repository with a DOI accession, presented as openly accessible, meeting all three criteria for open data."
39982990,false_negative,open,Korea Polar Data Center (KPDC),https://dx.doi.org/doi:10.22663/KOPRI-KPDC-00002462.1,Institutional/domain,"Mooring KAMS1 data are available from the Korea Polar Data Center (KPDC) website (https://dx.doi.org/doi:10.22663/KOPRI-KPDC-00002462.1). ... The CTD, nutrient, and Chl-a data at the P station are available from the KPDC website (https://dx.doi.org/doi:10.22663/KOPRI-KPDC-00002462.1).","The authors' own newly collected KAMS1 mooring and P-station CTD/nutrient/chlorophyll data were deposited at the Korea Polar Data Center with a resolvable DOI-style identifier and presented as openly available, meeting all three open-data criteria despite the generic boilerplate availability statement elsewhere."
39108863,non_open_data,reuse_only,,,,"Data used in the present work, can be freely found at: CTD records at www.interridge.org Altimetry at https://marine.copernicus.eu Coriolis-CORA products at www.coriolis.eu.org/Data-Products/Products/CORA ARGO floats at https://argo.ucsd.edu/ Regional Ocean Modelling System at https://www.myroms.org/ OSU TPXO Tide Models at https://www.tpxo.net/ Glorys CMEMS global ocean reanalysis product ... ERA5 Climate Reanalysis product ... Ichthyop Lagrangian tool","The data availability statement lists only pre-existing third-party datasets and modeling software/tools (CTD, altimetry, ARGO, CORA, GLORYS, ERA5, ROMS, TPXO, Ichthyop) that the authors reused as inputs, with no deposit of their own newly generated model output or simulation results in a repository with an accession number."
38384829,false_negative,open,Dryad,https://doi.org/10.5061/dryad.cc2fqz6c8,Dryad,The Python and R codes required to extract data and conduct analyses in addition to the raw field date and extracted environmental data from remote sensing satellites and meteorological towers are publicly available on Dryad (https://doi.org/10.5061/dryad.cc2fqz6c8).,"The authors deposited their newly generated raw field and environmental data in the Dryad repository with a resolvable DOI and describe it as publicly available, meeting all three open-data criteria despite the detector scoring this as no open data."
39970201,false_negative,open,Zenodo,https://doi.org/10.5281/zenodo.10368326,Zenodo,Flow Cytometry Standard data generated in this study and code have been deposited at Zenodo (https://doi.org/10.5281/zenodo.10368326).,"The authors deposited newly generated flow cytometry data (FCS files) in Zenodo with a resolvable DOI and no stated access restriction, meeting all criteria for open data despite the detector scoring this article as not sharing data."
39026542,false_negative,open,MorphoSource,https://doi.org/10.17602/M2/M597398,Institutional/domain,The CT dataset for MVZ Herp 81381 was collected for this study and is now deposited at https://www.morphosource.org/concern/parent/000597395/media/000597398 (DOI https://doi.org/10.17602/M2/M597398 ).,"The authors deposited newly generated CT scan data (specimen MVZ Herp 81381, scanned specifically for this study) in the MorphoSource repository with a resolvable DOI and no stated access restriction, meeting all three open-data criteria despite the detector scoring the article negative."
