pmid,oddpub_category,text_source,label,access,data_location,accession_or_link,evidence_quote,rationale
38191626,,mineru_md,false_negative,open,Recherche Data Gouv,https://doi.org/10.57745/AWTBRZ,"Aslam, M., Baudin, T. H., Farvaque, E., Marakbi, R. Dataset: Measuring the presence and incidence of cholera in Hindustan: New data from primary sources for the colonial era. Recherche Data Gouv https://doi.org/10.57745/AWTBRZ (2023).","The authors compiled a wholly new dataset (coded from primary historical medical reports) and deposited it in the Recherche Data Gouv repository with a resolvable DOI, meeting all three open-data criteria, so the detector's negative call is a false negative."
38195581,,mineru_md,false_negative,open,"PANGAEA (physical oceanography, hydrochemistry, LADCP, VM-ADCP, thermosalinograph data for TAlPro2016); NOAA NCEI OCADS (CRELEV2016 and TAlPro2016 discrete chemistry data); NODC-OGS (ESAW leg 1/leg 2 and CRELEV2016 physical/hydrochemistry/ADCP data)","https://doi.org/10.1594/PANGAEA.902330; https://doi.org/10.1594/PANGAEA.902293; https://doi.org/10.1594/PANGAEA.932316; https://doi.org/10.1594/PANGAEA.933628; https://doi.org/10.1594/PANGAEA.946435; NCEI Accession 0213116 (https://doi.org/10.25921/8f6a-zq94); NCEI Accession 0217938 (https://doi.org/10.25921/c01n-sv64); https://doi.org/10.13120/A0ACDE7F-AF65-4633-A021-7D15F52BC434 (and several other 10.13120/... NODC-OGS DOIs, refs 90-96)","""The results from these cruises adhere to the data policy of GO-SHIP, i.e., all data are published in open and free data repositories. The data are curated by specialized data centres, which are listed in Table 3 of section 'Data Records'.""","The paper deposits newly generated CTD/hydrographic/biogeochemical cruise data in PANGAEA, NOAA NCEI, and NODC-OGS with explicit DOIs/accession numbers and states the data are openly published, meeting all three open-data criteria, so the detector's negative call is a false negative."
38195633,upon request,mineru_md,false_negative,open,figshare,https://doi.org/10.6084/m9.figshare.c.6622375.v1,"All data and R code could be downloaded according to the FAIR principles32. Te dataset is provided in spreadsheet format with the title ""BiocharDS_V1.0""... 32. Li, X. et al. A global dataset of biochar application efects on crop yield, soil properties, and greenhouse gas emissions. fgshare https://doi.org/10.6084/m9.fgshare.c.6622375.v1 (2023).","The authors compiled and deposited their integrated dataset (BiocharDS_V1.0, 2438 items x 209 columns extracted/digitized from 367 studies plus accompanying R code) in the Figshare repository under a specific citable DOI, explicitly stated as openly downloadable per FAIR principles, satisfying deposit + accession + open access even though underlying values originate from third-party literature."
38195635,,mineru_md,false_negative,open,figshare,https://doi.org/10.6084/m9.figshare.24852987,"Te databases consist of six primary Excel spreadsheets and six derivative spreadsheets which reside in the fgshare data repository39. ... 39. Puetz, S. J., Spencer, C. J., Condie, K. C. & Roberts, N. M. W. Enhanced U-Pb detrital zircon, Lu-Hf zircon, δ18O zircon, and Sm-Nd whole rock global databases. Figshare https://doi.org/10.6084/m9.fgshare.24852987 (2023).","This is a Scientific Data data-descriptor article that deposits twelve newly compiled/enhanced Excel database files (six primary + six derivative) in Figshare with an explicit DOI, and describes them as open access with no gating, satisfying all three open-data criteria despite the detector's negative call."
38199998,,mineru_md,false_negative,open,"MSD-LIVE Data Repository (Program on Coupled Human and Earth Systems, PCHES)",https://doi.org/10.57931/2248064 (also https://data.msdlive.org/records/154gm-kvq48),"Repository: MSD-LIVE33, Project: Program on Coupled Human and Earth Systems (PCHES) https://data.msdlive.org/records/154gm-kvq48 ... 33. Prusevich, A., Lammers, R. & Glidden, S. MERIT-Plus Dataset: Delineation of endorheic basins in 5 and 15 min upscaled river networks. MSD-LIVE Data Repository https://doi.org/10.57931/2248064 (2023).","The authors newly generated the MERIT-Plus derived datasets (endorheic/exorheic basin identification and merged network layers, in multiple formats) and deposited them with a DOI at the MSD-LIVE repository under a CC-BY 4.0 open license, satisfying deposit, accession, and open-access criteria, so this data-descriptor article is a detector false negative."
38212343,"github, unknown/misspecified source",mineru_md,false_negative,open,Zenodo (DOI record) + Ouranos THREDDS Data Server (PAVICS platform),https://doi.org/10.5281/zenodo.7877330 (dataset access via https://pavics.ouranos.ca/twitcher/ows/proxy/thredds/catalog/birdhouse/ouranos/ESPO-G/ESPO-G6-R2v1.0.0/catalog.html),"""The reference for the ESPO-G6-R2 dataset is https://doi.org/10.5281/zenodo.7877330. The dataset is available through a Thematic Real-time Environmental Distributed Data Services (THREDDS) at the following link: https://pavics.ouranos.ca/twitcher/ows/proxy/thredds/catalog/birdhouse/ouranos/ESPO-G/ESPO-G6-R2v1.0.0/catalog.html.""","This is a Data Descriptor for a newly generated dataset (ESPO-G6-R2, produced by the authors' bias-adjustment workflow applied to CMIP6 simulations), and the Data Records section gives a Zenodo DOI plus a freely-accessible THREDDS/OPeNDAP server link with no access gating, satisfying all three open-data criteria — the detector's ""no open data"" call is a false negative."
38216580,"supplement, unknown/misspecified source",mineru_md,false_negative,open,USGS ScienceBase data release,https://doi.org/10.5066/P91UOARW,"Te data described above are part of the USGS North American Packrat Midden Database version 5.0 data release16 and are available at https://doi.org/10.5066/P91UOARW. Te Linked, Unlinked, and Lookup tables are provided within a relational database (.mdb) and are also provided separately as tabular (.xlsx) and comma-separated values (.csv) fles16.","The authors deposited their newly compiled/standardized database (20 linked/lookup tables plus a relational .mdb) in the USGS ScienceBase repository with a persistent DOI, openly accessible with no access restrictions stated, meeting all three open-data criteria."
38228610,github,mineru_md,false_negative,open,Figshare,https://doi.org/10.6084/m9.figshare.24180738.v3,"The RailFOD23 dataset has been published in zip format on Figshare, as per the data requirements. ... 32. Chen, Z. Railfod23.zip. figshare https://doi.org/10.6084/m9.figshare.24180738.v3 (2023).","The authors created a new dataset (14,615 images with annotations, generated via AIGC/ChatGPT/Stable Diffusion, Photoshop synthesis, and augmentation) and deposited it in the Figshare repository with a resolvable DOI, openly accessible under CC-BY 4.0, so the detector's ""not sharing open data"" call is a miss."
38228620,re-use,mineru_md,non_open_data,reuse_only,"Own lab webpage (http://bio-bigdata.hrbmu.edu.cn/oDrugCP/); underlying inputs reused from TCGA, miRTarBase, mir2Disease, miRecords, TarBase, HPRD, KEGG, DrugBank, SM2miR, NCI",http://bio-bigdata.hrbmu.edu.cn/oDrugCP/,"Among the input data processed during the reanalysis, the expression data of mRNA and miRNA were obtained from the TCGA database... miRNA target gene data come from miRTarBase... Drug target data are from DrugBank and SM2miR. Anticancer drug data comes from NCI...","All source data (TCGA expression, miRNA-target databases, PPI, pathway, drug data) are reused pre-existing public resources with no newly generated dataset deposited under an accession; the study's own computational results are only hosted on a lab query webpage (no repository accession/DOI), and the GitHub link provides only code, so no qualifying open-data deposit exists."
38228642,"supplement, unknown/misspecified source",mineru_md,false_negative,open,openICPSR (Inter-university Consortium for Political and Social Research),https://doi.org/10.3886/E192045V2,"""DEMOSPA0521 is deposited in a non-commercial repository with https://doi.org/10.3886/E192045V2."" and ""Te datasets and the R-Code are available at openICPSR in https://doi.org/10.3886/E192045V218.""","The authors derived/generated a new database (DEMOSPA0521, 15 processed/summarized datasets plus R code) from raw microdata and deposited it in the openICPSR repository with a resolvable DOI, distinct from the raw INE microdata which cannot be shared due to a data-use agreement; the derived, newly-created database itself is presented as openly downloadable via the DOI with no stated access restriction, so this is a genuine repository deposit with accession/DOI that the detector missed."
38233444,supplement,mineru_md,false_negative,open,JRC Open Data Catalogue (European Commission Joint Research Centre official repository); also mirrored on GHSL website,https://doi.org/10.2905/53473144-B88C-44BC-B4A3-4583ED1F547E,"""Te GHS-UCDB v1.212 is freely available for download via the JRC Open Data Catalogue, the ofcial repository for JRC datasets (https://data.jrc.ec.europa.eu/dataset/53473144-b88c-44bc-b4a3-4583ed1f547e), or GHSL website... This dataset is made of a geospatial database compatible with GIS, and a tabular dataset... contain information for 13,135 data records (urban centres).""","This is a Data Descriptor whose entire subject is a newly produced database (GHS-UCDB, 13,135 urban centres, 160 attributes) built by the authors via geospatial data integration, deposited with a DOI/accession in the JRC Open Data Catalogue and freely downloadable, satisfying all three open-data criteria, so the detector's negative call is a false negative."
38233447,"supplement, re-use, github",mineru_md,false_negative,open,NCBI Sequence Read Archive (SRA); figshare,SRA Study Accession SRP436666; https://doi.org/10.6084/m9.figshare.24870033,The mock microbiome community samples from NIST are deposited at the Sequence Read Archive at NCBI at Study Accession SRP43666686. ... The raw data and code were also deposited to a figshare repository105.,"The authors generated new sequencing data for five constructed NIST mock community samples and deposited them in SRA with a study accession number, and separately deposited raw pipeline output/code in figshare with a DOI, both openly accessible, satisfying all three open-data criteria that the detector missed."
38238331,"supplement, unknown/misspecified source",mineru_md,false_negative,open,Zenodo (curated on GitHub at https://github.com/pano-tacanan-history/blumpanotacana),https://doi.org/10.5281/zenodo.10450408,"""Te dataset in its current version is stored on Zenodo (v0.2). It is published under a CC-BY 4.0 license and curated on GitHub (https://github.com/pano-tacanan-history/blumpanotacana/tree/v0.2)."" / Reference 51: ""Blum, F., Ugarte, C. M. B., Zariquiey, R. & List, J.-M. CLDF dataset derived from Blum et al.'s 'A Comparative Wordlist for Investigating Distant Relations Among Languages in Lowland South America (v0.2). Zenodo, https://doi.org/10.5281/zenodo.10450408 (2023).""","The authors deposited their newly compiled comparative wordlist dataset (501 concepts across 21 languages, annotated with cognates/morphemes) in Zenodo under a CC-BY 4.0 open license with a resolvable DOI, satisfying all three open-data criteria, so the detector's negative call is a false negative."
38238342,supplement,mineru_md,false_negative,open,DANDI Archive (dandiset #000469),https://doi.org/10.48324/dandi.000469/0.231213.2047,"All data46 associated with this release is available on the DANDI Archive (dandiset #469), a BRAIN Initiative-supported archive for publishing and sharing neurophysiology data.","The authors deposited newly recorded single-neuron electrophysiology data (1809 neurons, 41 sessions, 21 patients) in NWB format on the DANDI Archive with a specific dandiset number and DOI, and it is openly accessible under CC-BY, so this is a genuine open-data deposit that the detector missed."
38242910,"unknown/misspecified source, supplement, upon request",mineru_md,false_negative,open,OpenAgrar data repository,https://doi.org/10.3220/DATA20231117103252-0,"Data Storage. The data are stored in the OpenAgrar data repository1 under the address https://doi.org/10.3220/DATA20231117103252-0. There are four files: the raw dataset ('Raw_data.csv'), the final dataset ('Final_data.csv'), a text file ('Readme.pdf') with explanations... The dataset described in this data descriptor can be used by the general public if this paper and its data are cited (Creative Commons License with attribution; CC-BY 4.0).","This is a Scientific Data descriptor for a newly compiled/harmonized German crop yield-and-area dataset (digitized, spatially harmonized, outlier-filtered, and validated by the authors) deposited with a resolvable DOI in the OpenAgrar repository under an open CC-BY license, so it satisfies all three open-data criteria and the detector's negative call is a false negative."
38242920,github,mineru_md,false_negative,open,OEDI (Open Energy Data Initiative) data repository,https://doi.org/10.25984/200106125,"All datasets are available at the OEDI (Open Energy Data Initiative) data repository at https://doi.org/10.25984/200106125. The datasets are divided into seven categories: inflow_mast_1min, inflow_mast 20Hz, wake_masts_1min (the three combined wake masts), wake_masts 20Hz, loads_1min, loads 20Hz, and lidar.","The authors deposited their newly generated wind, lidar, and structural-load field measurement data in the OEDI repository with a resolvable DOI and no stated access restriction, meeting all three open-data criteria, so the detector's negative call is a false negative."
38245553,github,mineru_md,false_negative,open,CSIRO Service Collection (data access portal / THREDDS server),http://hdl.handle.net/102.100.100/601698 (combined dataset); https://doi.org/10.25919/h22y-ec46 (Phase 2),"""The present CMIP6-derived wave climate ensemble has been published in two phases: Phase 1(57) and Phase 2(58). The combined dataset(59) can be accessed through the data access portal (http://hdl.handle.net/102.100.100/601698). The webpage will redirect the user to the THREDDS server page to download the dataset.""","The authors generated the wave climate model ensemble output themselves and deposited it in the CSIRO Service Collection with persistent handle/DOI identifiers, openly downloadable via a THREDDS server, satisfying all three open-data criteria despite the detector's negative call."
38245566,,mineru_md,false_negative,open,National Tibetan Plateau Data Center (TPDC),https://doi.org/10.11888/Terre.tpdc.300613,"The global-scale and 1-arcsec resolution LS-factor dataset64 is available at https://doi.org/10.11888/Terre.tpdc.300613 (please refer to the Supplementary File 1-Data link usage instructions). We split the entire LS-factor dataset into 1060 tiles of the same size... The dataset was named according to latitude-longitude and stored in GeoTIFF format... Tey can be downloaded, uncompressed, and then viewed using various GIS sofware programs.","The authors generated a new global LS-factor topographic dataset (DS-LS-GS1) via their own computational pipeline and deposited it with an explicit DOI at the National Tibetan Plateau Data Center, described as downloadable, so it meets all three open-data criteria and the detector's negative call is a false negative."
38253535,,mineru_md,false_negative,open,Open Science Framework (OSF),https://doi.org/10.17605/OSF.IO/497US,"""Te UTM-Hanoi survey data are available publicly in the Open Science Foundation repository 'UTM Hanoi'21."" (ref 21: Malleson, N. et al. Urban Transport Modelling for Sustainable Well-Being in Hanoi. OSF https://doi.org/10.17605/OSF.IO/497US (2023).)","The authors deposited their newly collected survey dataset (26,106 households) in the OSF repository with a persistent DOI and describe it as publicly available, satisfying all three open-data criteria, so this is a detector false negative."
38253567,,mineru_md,false_negative,open,University of Melbourne data repository (figshare),https://doi.org/10.26188/24471688,"""Te dataset56 can be downloaded from https://doi.org/10.26188/24471688."" with ref 56: ""Tamizi, A. & Young, I. R. A dataset of global tropical cyclone wind and surface wave measurements from buoy and satellite platforms. fgshare https://doi.org/10.26188/24471688 (2024).""","The authors compiled a novel composite dataset (2927 per-TC NetCDF files merging IBTrACS tracks with buoy, altimeter, scatterometer, and radiometer observations, including derived quantities they computed) and deposited it in a figshare/institutional repository with a resolvable DOI that is openly downloadable, so the detector's negative call is a false negative."
38263360,github,mineru_md,false_negative,open,Zenodo,https://doi.org/10.5281/zenodo.8219621,"Davies, G. et al., Australian atmospheric pressure and sea level data during the 2022 Hunga-Tonga Hunga-Haápai volcano tsunami. Zenodo https://doi.org/10.5281/zenodo.8219621 (2023).","The authors deposited their newly compiled/processed MSLP and tide-gauge time series, metadata, and code in a Zenodo repository with a DOI, and the data are openly accessible except for a small licensed subset that still provides filtered open data, so the detector's negative call is a false negative."
38267450,supplement,mineru_md,false_negative,open,Zenodo,https://doi.org/10.5281/zenodo.7920303,"Bensaf, M. & Stanley, H. B. COVID-19 - Symptoms - Impact on quality of life and needs of afected people. zenodo https://doi.org/10.5281/zenodo.7920303 (2023).","The authors deposited their newly collected survey dataset (639 COVID-19 patient responses) in Zenodo with a resolvable DOI, and the data are openly licensed (CC BY 4.0) with no access restriction, satisfying all three open-data criteria despite the detector's negative call."
38272936,"supplement, github, unknown/misspecified source",mineru_md,false_negative,open,Figshare,https://doi.org/10.6084/m9.figshare.c.6736533.v1,"""Data can be accessed via43 and the Python library used for data processing and transformation is available separately as part of a GitHub repository44."" ... ""43. Gnacek, M. et al. Avdos-vr: Affective video database with physiological signals and continuous ratings collected remotely in vr, Figshare, https://doi.org/10.6084/m9.figshare.c.6736533.v1 (2023).""","The authors deposited newly generated raw and processed physiological/behavioral data (37 participants, VR affective video study) in Figshare with a DOI, openly accessible, satisfying all three open-data criteria."
38272947,"re-use, upon request",mineru_md,false_negative,open,Copernicus Climate Data Store (CDS),https://doi.org/10.24381/cds.b9c753f1,"""The Global seasonal prediction of fire danger dataset is made available through the Climate Data Store20 ... open access via a user friendly web interface ... Users can browse the available data catalogue without logging in, however registering an account is mandatory to download data."" (ref 20: Seasonal forecast of fire danger indices from the copernicus emergency management service, https://doi.org/10.24381/cds.b9c753f1, 2023)","This is a data-descriptor paper whose entire content is the description of a newly generated dataset (fire danger seasonal forecast indices, computed by the authors with the GEFF model driven by SEAS5), deposited in a recognized open repository (Copernicus Climate Data Store) with a persistent DOI and free/open access (registration-gated download is not restricted/upon-request access), so all three open-data criteria are met and the detector's negative call is a miss."
38296972,github,mineru_md,non_open_data,upon_request_or_restricted,EBRAINS Human Data Gateway,https://doi.org/10.25493/DSY2-W2P,"""In accordance with the General Data Protection Regulation (GDPR), the data in NatMEG-PD is available through the EBRAINS Human Data Gateway. Access to the dataset must be requested; this requires the user to have an EBRAINS account for authentication. Access is granted if the EBRAINS Data Usage Agreement for human data is explicitly accepted by the authenticated user... Users without an institutional email address can request an account by contacting EBRAINS and provide a short motivation on wh","The MEG/clinical dataset was newly generated and deposited with a persistent DOI, but access is gated behind an EBRAINS account, institutional-email/motivation-based authorization, and a signed Data Usage Agreement, which constitutes controlled/restricted access rather than open access, so the detector's negative call is correct."
38297002,github,mineru_md,false_negative,open,The Cancer Imaging Archive (TCIA),https://doi.org/10.7937/9wkk-q141,"Te BrEaST dataset has been made available for download at Te Cancer Imaging Archive (TCIA)21 and for viewing on the dedicated webpage24. ... A curated benchmark dataset for ultrasound based breast lesion analysis (breast-lesions-usg) (version 1), Te Cancer Imaging Archive, https://doi.org/10.7937/9wkk-q141 (2024).","The authors generated a new dataset of 256 annotated breast ultrasound images/masks/clinical labels and deposited it at TCIA under a DOI with a CC-BY 4.0 open license, meeting all three open-data criteria, so the detector's negative call is a miss."
38297013,,mineru_md,non_open_data,none,,,This commentary provides a primer on the tradeoffs inherent in data harmonization for researchers who are considering undertaking such efforts or seek to evaluate the quality of existing ones.,"This is a commentary/methods primer article with no new data generated or deposited by the authors — it discusses data harmonization concepts and cites third-party datasets/tools as examples, but contains no data availability statement, accession number, or repository deposit of its own data."
38297080,github,mineru_md,false_negative,open,PhysioNet,https://doi.org/10.13026/77ta-1866,"""the accessible dataset has been provided, which is available at PhysioNet and can be accessed via https://doi.org/10.13026/77ta-1866. This dataset12 consists of 1141 PwMS.""","The authors newly anonymized and deposited a patient-level dataset (1141 people with MS) at PhysioNet under an open license, with a resolvable DOI, satisfying all three open-data criteria, so the detector's negative call is a false negative."
38302466,,mineru_md,non_open_data,none,,,No data is directly associated with this article.,This is an opinion/comment article on health data governance with no underlying dataset generated or deposited; the article itself states no data is associated with it.
38302487,,mineru_md,false_negative,open,"Rodare (institutional data repository, HZDR)",https://doi.org/10.14278/rodare.2473,"""Data storage. Te dataset is publicly available at the Rodare data repository42."" ... ""42. Liou, N. et al. Clinical urine microscopy for urinary tract infections. Rodare https://doi.org/10.14278/rodare.2473 (2023).""","The authors deposited their newly generated, manually annotated urinary cell image dataset (300 images, 3,562 annotated objects) in the Rodare repository with a resolvable DOI and state it is publicly available, satisfying all three open-data criteria despite being scored as a detector negative."
38321027,unknown/misspecified source,mineru_md,false_negative,open,"The Cancer Imaging Archive (TCIA), collection ""Colorectal-Liver-Metastases""",https://doi.org/10.7937/QXK2-QG03,"""We are now releasing the dataset utilized for this project through Te Cancer Imaging Archive (TCIA)14... Simpson, A. L. et al. Preoperative CT and Recurrence for Patients Undergoing Resection of Colorectal Liver Metastases (Colorectal-Liver-Metastases) (Version 2) [Data set]. Te Cancer Imaging Archive (TCIA) https://doi.org/10.7937/QXK2-QG03 (2023).""","The authors newly generated preoperative CT scans, expert segmentation masks, and clinicopathologic/survival data for 197 patients and deposited the full dataset in TCIA under a citable DOI described as publicly released, satisfying deposit + accession/DOI + open access."
38321063,,mineru_md,non_open_data,none,none (no new data generated),,Data sharing not applicable to this article as no datasets were generated or analyzed during the study.,"This is a conceptual/methods paper describing Knowledge and Instance Mapping frameworks; it explicitly states no new datasets were generated, and the example figures reuse third-party published data (e.g., Cheng et al., Levard et al.) republished with permission rather than newly deposited data with an accession."
38326377,unknown/misspecified source,mineru_md,false_negative,open,OpenNeuro,https://doi.org/10.18112/openneuro.ds004910.v1.0.0,"""All data can be accessed on OpenNeuro27."" ... ""27. Wu, Y., Liu, X., Huang, Y., Zhou, T. & Zhang, F. An open relaxation-difusion MRI dataset in neurosurgical studies, OpenNeuro, https://doi.org/10.18112/openneuro.ds004910.v1.0.0 (2024).""","The authors deposited their newly acquired rdMRI dataset (18 patients + 2 controls) in the OpenNeuro repository with a DOI, and OpenNeuro is a fully open, non-gated repository, satisfying all three open-data criteria despite boilerplate ""qualified researchers"" wording in the Code Availability section that appears to be template text unrelated to the actual (open) data access."
38341463,github,mineru_md,false_negative,open,AMS Acta (University of Bologna open access repository),https://doi.org/10.6092/unibo/amsacta/7347,"""It is hosted on AMS Acta, the open access repository managed by the University of Bologna... Clissa, L. et al. Fluorescent neuronal cells v2. AMS Acta https://doi.org/10.6092/unibo/amsacta/7347 (2023).""","The article deposits its newly generated 1874 fluorescence microscopy images and 750 ground-truth annotations in the AMS Acta open-access repository with a resolvable DOI, satisfying all three open-data criteria, so the detector's negative call is a false negative."
38341465,,mineru_md,false_negative,open,Figshare,https://doi.org/10.6084/m9.figshare.24305557,"Te GF-7 Building dataset has been made public under Figshare (https://doi.org/10.6084/m9.fgshare.24305557). For the convenience of users, both the four-bands (RGB and NIR) and three-band (RGB) GF-7 Building datasets, which include the Train set.zip, Test set, and Validation set, have been shared.","The authors generated a new building-segmentation dataset (GF-7 imagery tiles plus manually digitized building labels) and deposited it in Figshare under a resolvable DOI, described as openly accessible with no access restriction mentioned, so this is a genuine open-data deposit the detector missed."
38347013,supplement,mineru_md,false_negative,open,Australian Ocean Data Network (AODN); also mirrored via NSW SEED portal (datasets.seed.nsw.gov.au),https://doi.org/10.26198/jtsf-sh87,"Kinsela, M. A. et al. NSW nearshore wave buoy data (2016-2023), Australian Ocean Data Network, https://doi.org/10.26198/jtsf-sh87 (2024).","This Scientific Data descriptor paper's entire subject is a newly generated, author-collected dataset (81 wave buoy deployments, 2016-2023) that is deposited with a persistent DOI at the Australian Ocean Data Network and additionally downloadable free of charge from the NSW Government SEED portal, satisfying deposit + accession/DOI + open access."
38351164,github,mineru_md,false_negative,open,Science Data Bank,https://doi.org/10.57760/sciencedb.o00121.00001,The dataset of this study is freely available for all users at Science Data Bank (https://doi.org/10.57760/sciencedb.o00121.00001).,"The authors generated a novel 10-m national-scale PV power station map for China and deposited it with a DOI at Science Data Bank, described as freely available, meeting all three open-data criteria, so this is a detector false negative (only code, not data, is mentioned in the separate ""Code availability"" GitHub link)."
